"Clean up all rubbish around the house, keep grass mown and whipper snipped, including nature strip. Move woodpile well away from house (minimum 10 metres). ",√,√,√,√,√,√,
Remove all branches overhanging the house. (Utilise Council's green waste service or vouchers).,√,√,√,√,√,√,
"Check all smoke alarms, and replace batteries if necessary.",√,√,√,√,√,√,
"Clean out all gutters, including sheds/garage. Check wire mesh minimum of 1.5mm aperture over vents around the house.",√,√,√,√,√,√,
"Pack relocation kit in a container or bag for quick transportation - photographs, medications/ prescriptions, important documents (insurance details), passports, cameras, jewellery, backup discs, etc. (see Relocation Kit section). Keep this kit in an accessible spot.",√,√,√,√,√,√,
Keep mobile phones charged throughout the bushfire season and carry at all times.,√,√,√,√,√,√,
Make arrangements to go to a non-high risk area when relocating.  Eg. Family or friends.,√,√,√,√,√,√,
Make arrangements for all family to be transported safely.,,√,√,√,√,√,
Make arrangements for all animals to be transported safely.,√,√,√,√,√,,
Define responsibilities - which household member will perform each task.,,√,√,√,√,√,
Discuss and agree on the plan as a household. ,,√,√,√,√,√,
Practise the plan with all the family. Make sure everyone knows their role and how scary a bushfire can be.,,√,√,√,√,√,
Practise the plan,√,,,,,,
"Discuss the fire plan with direct neighbours, and exchange contact information to ensure ability to keep in touch in an emergency.",√,√,√,√,√,√,
"Advise the children's schools of plans to leave early on  <trigger> or greater, fire risk day.",,,√,,,,
Place mops and metal buckets in an accessible location with the Emergency Kit,√,√,√,√,√,√,
Discuss with the entire family where to would shelter in the house if unable to leave.,,√,√,,√,√,
Identify where to shelter in the house if unable to leave.,√,,,√,,,
"Inform the children that they are expected to stay at school should a fire start during school hours, as schools have fire protocols in place for emergencies.",,,√,,,,
Ensure all house entrance points are clear of all combustible items/materials for at least 10 metres.,√,√,√,√,√,√,
"Check hoses can reach around whole house, can be moved inside and connected to the washing machine taps.",√,√,√,√,√,√,
Test pumps and hoses if available on the property,√,√,√,√,√,√,New item
"Identify the trigger to leave eg. Total Fire Ban, SEVERE or greater Fire Danger Rating.",√,√,√,√,√,√,
Practice what to do should leaving early be impossible or if fire threatens the house,√,√,√,√,√,√,
"Decide which bushfire information sources to use during the bushfire season and download associated apps or bookmark relevant webpages. Eg. CFA Fire Ready, Emergency Aus, Warrandyte Fire Watch, preset 774AM on radio. Don't rely on one source of information and consider power failures. Battery operated or wind up radios can be a great option in addition to new technology.",√,√,√,√,√,√,
"Advise neighbours, close friends and relatives of your plan and where you will go when you leave.",,√,√,√,√,√,
"Advise neighbours, close friends and relatives of my plan and where I will go when I leave.",√,,,,,,
Source enough woollen blankets for every household member to use for protection should the need arise. Consider obtaining blankets for visitors.,,√,√,√,√,√,
Source enough woollen blankets to use for protection should the need arise. Consider obtaining blankets for visitors.,√,,,,,,
Pack Emergency Kit and place in an accessible locations (see Emergency Kit section),√,√,√,√,√,√,New item
Identify exit routes and back up exit routes as a fire could come from any direction and plans need to be prepared for all situations to avoid driving directly into the fire,√,√,√,√,√,√,
