Wet down all front and back decks and keep them wet.,Y,Y,Y,Y,Y,Y,
"Drench fire-facing walls, and continually monitor for spot fires.",Y,Y,Y,Y,Y,Y,
"When fire intensity becomes too great - retreat inside, move hoses into the house and connect them to the washing machine taps.",Y,Y,Y,Y,Y,Y,
Continually patrol house/ceiling to prevent and put out any internal fires.,Y,Y,Y,Y,Y,Y,
Block under exterior doorways with wet towels/blankets.,Y,Y,Y,Y,Y,Y,
Check roof space regularly.,Y,Y,Y,Y,Y,Y,
Make sure small pets are restrained.,,,,,Y,,
"If the house catches fire, move away from the source and shut doors behind you to isolate and slow down the burning parts of the house. The last room to retreat to must be the one with two exits (<name the room> eg. downstairs laundry). (Hopefully the fire front will have passed by the time you are forced into the designated room).",Y,Y,Y,Y,Y,Y,
"If the <designated room> is no longer safe, and if it is safe to do so, move outside to the side of the house that will offer the most protection from radiant heat and cover up with dry woollen blankets and shelter there until the fire passes.",Y,Y,Y,Y,Y,Y,
Try to manage the pets but do not let anyone go after them should they escape - stay together.,,,,,Y,,
Do not retreat to a bathroom - it is generally an unsafe room as it may only have one exit and windows can be frosted for privacy - which does not allow you to see outside.,Y,Y,Y,Y,Y,Y,
"Draw curtains, but maintain a view of the conditions outside.",Y,Y,Y,Y,Y,Y,
"Keep drinking plenty of water, even if not feeling thirsty",Y,Y,Y,Y,Y,Y,New item
