Large container with lid or bag to hold relocation items,Y,Y,Y,Y,Y,Y
Photographs,Y,Y,Y,Y,Y,Y
Back up discs and/or backup drive,Y,Y,Y,Y,Y,Y
Medications and prescriptions,Y,Y,Y,Y,Y,Y
"Important documents (insurance, passports, proof of identity, banking info, credit cards, etc)",Y,Y,Y,Y,Y,Y
Jewellery,Y,Y,Y,Y,Y,Y
"Address book, diary, important contact information (Doctors, council, power companies, etc)",Y,Y,Y,Y,Y,Y
Mobile phone chargers,Y,Y,Y,Y,Y,Y
Clothes for three days,Y,Y,Y,Y,Y,Y
Toiletries,Y,Y,Y,Y,Y,Y
Water,Y,Y,Y,Y,Y,Y
First Aid Kit,Y,Y,Y,Y,Y,Y
"Dog/cat leads and food, bird seed and water",,,,,Y,
Money,Y,Y,Y,Y,Y,Y
Items of special value,Y,Y,Y,Y,Y,Y
"Immediate supplies (food, formula, snacks, water bottles etc)",Y,Y,Y,Y,Y,Y
Radio and batteries,Y,Y,Y,Y,Y,Y
